case_id,sanctioned_state,sanctioning_state,begin,end,trade,descr_trade,arms,military,financial,travel,other,target_mult,sender_mult,objective,success
22,China,UN,1951,1953,0,,1,0,0,0,0,0,1,"end_war,destab_regime","success_total,failed"
23,China,United States,1951,1979,0,,0,0,1,0,0,0,0,destab_regime,success_part
24,"Egypt, Arab Rep.",United Kingdom,1951,1954,0,,1,0,0,0,0,0,0,prevent_war,success_part
25,Hungary,United States,1951,1973,0,,0,0,1,1,1,0,0,human_rights,nego_settlement
26,"Korea, North",UN,1951,2022,0,,1,0,0,0,0,0,1,end_war,ongoing
27,Switzerland,United States,1951,1951,1,imp_part,0,0,0,0,0,0,0,policy_change,nego_settlement
28,China,ChinCom,1952,1958,1,exp_part,0,0,0,0,0,0,1,destab_regime,failed
29,China,Japan,1952,1954,1,exp_part,0,0,0,0,0,0,0,destab_regime,failed
30,"Egypt, Arab Rep.",United States,1952,1952,0,,0,0,1,0,0,0,0,policy_change,failed
31,Australia,Soviet Union,1954,1959,1,imp_part,0,0,0,1,1,0,0,other,failed
32,German Democratic Republic,United States,1954,1974,0,,0,0,0,0,1,0,0,territorial_conflict,success_total
33,Gibraltar,Spain,1954,1984,0,,0,0,0,1,0,0,0,territorial_conflict,nego_settlement
34,Guatemala,United States,1954,1954,0,,1,0,0,0,0,0,0,"human_rights,democracy","success_total,success_total"
35,North Vietnam,South Vietnam,1954,1976,1,"exp_compl, imp_compl",0,0,0,1,0,0,0,territorial_conflict,failed
36,North Vietnam,United States,1954,1964,1,exp_compl,0,0,0,0,0,0,0,destab_regime,failed
37,Portugal,India,1954,1959,0,,0,0,0,1,0,0,0,territorial_conflict,failed
38,Portugal,India,1954,1975,0,,0,0,0,0,1,0,0,"territorial_conflict,democracy","success_total,success_total"
39,Portugal,India,1954,1954,0,,0,0,0,0,1,0,0,territorial_conflict,failed
40,Portugal,India,1954,1961,0,,0,0,1,0,0,0,0,territorial_conflict,success_total
41,"Korea, North",United States,1955,2008,1,"exp_compl, imp_compl",0,0,1,0,0,0,0,prevent_war,failed
42,Portugal,India,1955,1961,1,"exp_compl, imp_compl",0,0,0,0,1,0,0,territorial_conflict,success_total
43,"Egypt, Arab Rep.","United States, United Kingdom, France",1956,1957,0,,0,0,1,0,0,0,1,prevent_war,nego_settlement
44,Israel,United States,1956,1983,0,,1,1,1,0,0,0,0,end_war,failed
45,Netherlands,Indonesia,1957,1963,1,"exp_compl, imp_compl",0,0,1,1,0,0,0,territorial_conflict,success_total
46,Romania,United States,1957,1960,1,"exp_compl, imp_compl",0,0,0,0,1,0,0,"policy_change,human_rights","nego_settlement,nego_settlement"
47,Transjordan,"Egypt, Arab Rep., Syria",1957,1958,1,"exp_compl, imp_compl",0,0,1,0,0,0,1,policy_change,failed
48,Tunisia,France,1957,1963,0,,0,0,1,0,0,0,0,policy_change,failed
49,Yugoslavia,Germany,1957,1968,0,,0,0,0,0,1,0,0,policy_change,success_part
50,Cuba,United States,1958,2022,0,,1,0,0,0,0,0,0,destab_regime,ongoing
51,Finland,Soviet Union,1958,1959,1,"exp_part, imp_part",0,0,0,0,1,0,0,destab_regime,success_total
52,Laos,United States,1958,1958,0,,0,0,1,0,0,0,0,other,success_total
53,Yugoslavia,Soviet Union,1958,1960,0,,0,0,1,0,0,0,0,policy_change,failed
54,Israel,"Egypt, Arab Rep.",1959,1979,1,"exp_compl, imp_compl",0,0,0,0,1,0,0,territorial_conflict,nego_settlement
55,Albania,Soviet Union,1960,1960,1,exp_part,0,0,0,0,0,0,0,policy_change,failed
56,China,Soviet Union,1960,1970,1,"exp_part, imp_part",0,1,1,0,0,0,0,"destab_regime,territorial_conflict","success_part,nego_settlement"
57,"Congo, Democratic Republic of the",United States,1960,1963,0,,0,1,0,0,0,0,0,territorial_conflict,success_total
58,Cuba,United States,1960,1964,1,"exp_part, imp_part",0,0,0,0,0,0,0,destab_regime,failed
59,Dominican Republic,Organization of American States,1960,1961,1,exp_part,1,0,0,0,1,0,1,destab_regime,success_total
60,Dominican Republic,United States,1960,1961,1,imp_part,0,1,0,0,0,0,0,destab_regime,success_total
61,Laos,United States,1960,1960,0,,0,1,0,0,0,0,0,end_war,failed
62,Netherlands,Indonesia,1960,1963,0,,0,0,0,0,1,0,0,territorial_conflict,success_total
63,Albania,Soviet Union,1961,1965,1,"exp_compl, imp_compl",0,0,1,1,1,0,0,policy_change,failed
64,Cuba,United States,1961,2015,0,,0,0,1,1,0,0,0,destab_regime,failed
65,German Democratic Republic,Germany,1961,1989,0,,0,0,0,1,0,0,0,territorial_conflict,success_total
66,"Korea, South",United States,1961,1961,0,,0,0,1,0,0,0,0,"democracy,human_rights","success_total,success_total"
67,Pakistan,Afghanistan,1961,1963,0,,0,0,0,1,1,0,0,territorial_conflict,nego_settlement
68,"Poland, Hungary, Czechoslovakia",United States,1961,1991,0,,1,0,0,0,0,1,0,destab_regime,success_total
69,Algeria,United States,1962,1962,0,,0,0,1,0,0,0,0,"policy_change,destab_regime","failed,failed"
70,Brazil,United States,1962,1964,0,,0,1,1,0,0,0,0,destab_regime,success_total
71,Cuba,Organization of American States,1962,2015,0,,0,0,0,0,1,0,1,destab_regime,nego_settlement
72,Cuba,United States,1962,2022,1,"exp_compl, imp_compl",0,0,0,0,0,0,0,destab_regime,ongoing
73,Cuba,United States,1962,2015,0,,0,0,1,0,0,0,0,destab_regime,failed
74,Haiti,United States,1962,1964,0,,0,0,1,0,0,0,0,destab_regime,failed
75,Laos,United States,1962,1962,0,,0,0,1,0,0,0,0,destab_regime,success_total
76,Nepal,India,1962,1965,1,exp_part,1,0,0,0,0,0,0,destab_regime,failed
77,Peru,United States,1962,1962,0,,0,1,1,0,1,0,0,destab_regime,failed
78,Peru,"Venezuela, Colombia, Costa Rica, Dominican Republic",1962,1963,0,,0,0,0,0,1,0,1,"democracy,human_rights","success_total,success_total"
79,Romania,Soviet Union,1962,1963,0,,0,0,0,0,1,0,0,policy_change,failed
80,Soviet Union,NATO,1962,1966,1,imp_part,0,0,0,0,0,0,1,prevent_war,failed
81,Ceylon,United States,1963,1965,0,,0,0,1,0,0,0,0,policy_change,success_total
82,Cuba,Germany,1963,1969,0,,0,0,0,0,1,0,0,policy_change,failed
83,Cuba,United States,1963,1977,0,,0,0,1,1,0,0,0,destab_regime,failed
84,Dominican Republic,United States,1963,1963,0,,0,1,1,0,1,0,0,destab_regime,failed
85,Dominican Republic,Venezuela,1963,1963,0,,0,0,0,0,1,0,0,destab_regime,success_total
86,"Egypt, Arab Rep.",United States,1963,1964,0,,0,0,1,0,0,0,0,prevent_war,failed
87,Indonesia,Malaya,1963,1967,1,"exp_compl, imp_compl",0,0,0,0,1,0,0,territorial_conflict,success_total
88,Indonesia,United States,1963,1966,0,,0,1,1,0,0,0,0,prevent_war,success_total
89,Malaya,Indonesia,1963,1966,1,"exp_compl, imp_compl",0,0,0,0,0,0,0,territorial_conflict,success_total
90,Philippines,Malaya,1963,1964,0,,0,0,0,0,1,0,0,territorial_conflict,failed
91,Portugal,Organisation of African Unity,1963,1974,1,imp_compl,0,0,0,0,1,0,1,territorial_conflict,success_total
92,Singapore,Indonesia,1963,1966,1,"exp_part, imp_part",0,0,0,0,1,0,0,destab_regime,failed
93,South Africa,Switzerland,1963,1994,1,exp_part,1,0,0,0,0,0,0,policy_change,success_total
94,South Africa,UN,1963,1977,0,,1,0,0,0,0,0,1,policy_change,failed
95,South Africa,United States,1963,1998,0,,1,0,0,0,0,0,0,policy_change,success_total
96,South Vietnam,United States,1963,1963,0,,0,1,1,0,0,0,0,human_rights,success_total
97,Cuba,Organization of American States,1964,1975,1,"exp_compl, imp_compl",0,0,0,1,1,0,1,destab_regime,failed
98,"Egypt, Arab Rep.",United States,1964,1965,0,,0,0,1,0,0,0,0,"policy_change,end_war,other","success_total,success_part,success_part"
99,Gibraltar,Spain,1964,1984,1,exp_part,0,0,0,0,0,0,0,territorial_conflict,nego_settlement
100,Indonesia,United States,1964,1966,0,,1,0,0,0,0,0,0,"human_rights,democracy","success_part,success_part"
101,North Vietnam,United States,1964,1975,1,"exp_compl, imp_compl",0,0,1,0,0,0,0,destab_regime,failed
102,South Africa,India,1964,1993,1,"exp_compl, imp_compl",0,0,0,0,1,0,0,policy_change,success_total
103,South Africa,Japan,1964,1994,0,,0,0,1,0,0,0,0,policy_change,success_total
104,South Africa,United Kingdom,1964,1994,0,,1,0,0,0,0,0,0,policy_change,success_total
105,Tunisia,France,1964,1966,1,imp_part,0,0,1,0,0,0,0,other,nego_settlement
106,Algeria,France,1965,1971,1,imp_part,0,0,1,0,0,0,0,other,nego_settlement
107,"Egypt, Arab Rep.",Germany,1965,1972,0,,1,0,1,0,0,0,0,prevent_war,failed
108,Germany,League of Arab States,1965,1979,0,,0,0,0,0,1,0,1,policy_change,success_part
109,Gibraltar,Spain,1965,1984,1,exp_part,0,0,0,0,0,0,0,"territorial_conflict,policy_change","failed,failed"
110,India,United Kingdom,1965,1967,0,,1,0,0,0,0,0,0,end_war,success_part
111,India,United States,1965,1967,0,,0,1,1,0,0,0,0,end_war,success_total
112,"India, Pakistan","United States, United Kingdom",1965,1966,0,,1,0,0,0,0,1,1,end_war,success_total
113,"Pakistan, India",UN,1965,1975,0,,1,0,0,0,0,1,1,"territorial_conflict,end_war","failed,failed"
114,"Pakistan, India",United Kingdom,1965,1975,0,,1,1,0,0,0,1,0,"territorial_conflict,end_war","failed,failed"
115,"Pakistan, India",United States,1965,1975,0,,1,1,0,0,0,1,0,"territorial_conflict,end_war","failed,failed"
116,Rhodesia,United Kingdom,1965,1966,1,"exp_part, imp_part",0,0,1,0,0,0,0,territorial_conflict,nego_settlement
117,Gibraltar,Spain,1966,1984,0,,0,0,0,0,1,0,0,territorial_conflict,nego_settlement
118,Portugal,UN,1966,1974,1,imp_compl,1,0,0,0,0,0,1,policy_change,success_total
119,Rhodesia,"Denmark, Norway, Canada, Australia, Switzerland, Germany",1966,1979,1,"exp_part, imp_part",1,0,0,0,0,0,1,democracy,success_total
120,Rhodesia,UN,1966,1979,1,"exp_part, imp_part",1,0,0,0,0,0,1,democracy,success_total
121,Rhodesia,United Kingdom,1966,1979,1,"exp_compl, imp_part",0,0,1,0,1,0,0,territorial_conflict,nego_settlement
122,United Kingdom,Spain,1966,1984,0,,0,0,0,0,1,0,0,territorial_conflict,failed
123,"Egypt, Arab Rep.",France,1967,1974,0,,1,0,0,0,0,0,0,territorial_conflict,failed
124,Greece,United States,1967,1970,0,,1,0,0,0,0,0,0,"human_rights,democracy","success_total,success_total"
125,Greece,United States,1967,1972,0,,0,1,0,0,0,0,0,"human_rights,democracy","success_total,success_total"
126,Israel,France,1967,1974,0,,1,0,0,0,0,0,0,territorial_conflict,failed
127,Myanmar,China,1967,1971,0,,0,0,1,0,0,0,0,human_rights,nego_settlement
128,Nigeria,United Kingdom,1967,1970,0,,1,0,0,0,0,0,0,end_war,success_total
129,Nigeria,United States,1967,1970,0,,1,0,0,0,0,0,0,end_war,success_total
130,Rhodesia,United States,1967,1979,1,"exp_part, imp_part",1,0,0,0,0,0,0,democracy,success_total
131,Transjordan,France,1967,1974,0,,1,0,0,0,0,0,0,prevent_war,failed
132,United States,Sudan,1967,1971,0,,0,0,0,0,1,0,0,policy_change,failed
133,Cambodia,Japan,1968,1999,0,,0,0,1,0,0,0,0,"democracy,human_rights","success_part,success_part"
134,Ecuador,United States,1968,1969,0,,1,0,0,0,0,0,0,other,failed
135,Nigeria,Czechoslovakia,1968,1970,0,,1,0,0,0,0,0,0,"territorial_conflict,democracy,human_rights","success_total,success_total,success_total"
136,Nigeria,"Netherlands, Italy, France, Belgium",1968,1970,0,,1,0,0,0,0,0,1,end_war,success_total
137,Panama,United States,1968,1968,0,,0,0,0,0,1,0,0,"democracy,human_rights","success_total,success_total"
138,Peru,United States,1968,1974,0,,0,0,1,0,0,0,0,"policy_change,other","success_total,success_total"
139,Peru,United States,1968,1968,0,,0,0,0,0,1,0,0,"democracy,human_rights","success_total,success_total"
140,Philippines,Malaya,1968,1969,0,,0,0,0,0,1,0,0,territorial_conflict,failed
141,Rhodesia,UN,1968,1979,1,"exp_compl, imp_compl",1,0,1,1,1,0,1,democracy,success_total
142,Sweden,United States,1968,1970,0,,0,0,0,0,1,0,0,policy_change,failed
143,Chad,Central African Republic,1969,1969,1,"exp_compl, imp_compl",0,0,0,1,0,0,0,policy_change,nego_settlement
144,"El Salvador, Honduras",United States,1969,1969,0,,1,0,0,0,0,0,0,prevent_war,success_total
145,Gibraltar,Spain,1969,1984,1,"exp_compl, imp_compl",0,0,0,0,0,0,0,territorial_conflict,nego_settlement
146,Chile,United States,1970,1973,0,,0,0,1,0,0,0,0,destab_regime,success_part
147,Lesotho,United Kingdom,1970,1970,0,,0,0,1,0,1,0,0,"destab_regime,democracy,human_rights","success_total,success_total,success_total"
148,Mozambique,"United States, Italy, Sweden",1970,1971,0,,0,0,1,0,0,0,1,other,success_total
149,Ecuador,United States,1971,1972,0,,0,1,1,0,0,0,0,other,failed
150,India,United States,1971,1971,0,,1,1,1,0,0,0,0,end_war,success_total
151,Malta,United Kingdom,1971,1971,0,,0,1,1,0,0,0,0,policy_change,nego_settlement
152,Pakistan,India,1971,1976,1,"exp_compl, imp_compl",0,0,0,0,1,0,0,territorial_conflict,success_total
153,Pakistan,United States,1971,1971,0,,1,1,1,0,0,0,0,end_war,nego_settlement
154,Uganda,United Kingdom,1972,1979,0,,0,0,1,0,0,0,0,human_rights,success_total
155,Canada,League of Arab States,1973,1974,1,exp_part,0,0,0,0,0,0,1,policy_change,failed
156,Chile,Belgium,1973,1990,0,,0,0,1,0,0,0,0,"democracy,human_rights","success_total,success_total"
157,Chile,Denmark,1973,1990,0,,0,0,1,0,0,0,0,"democracy,human_rights","success_total,success_total"
158,Chile,German Democratic Republic,1973,1990,0,,0,0,0,0,1,0,0,"democracy,human_rights","success_total,success_total"
159,Chile,Germany,1973,1990,0,,1,0,1,0,0,0,0,"democracy,human_rights","success_total,success_total"
160,Chile,Soviet Union,1973,1990,0,,0,0,0,0,1,0,0,"democracy,human_rights","success_total,success_total"
161,Chile,"Sweden, Finland, Norway, Netherlands",1973,1990,0,,0,0,1,0,0,0,1,"democracy,human_rights","failed,failed"
162,Denmark,League of Arab States,1973,1974,1,exp_part,0,0,0,0,0,0,1,policy_change,failed
163,Israel,Organisation of African Unity,1973,1974,1,exp_compl,0,0,0,0,0,0,1,policy_change,failed
164,Japan,League of Arab States,1973,1974,1,exp_part,0,0,0,0,0,0,1,policy_change,failed
165,"Korea, South",United States,1973,1977,0,,0,1,1,0,0,0,0,human_rights,failed
166,Netherlands,League of Arab States,1973,1974,1,exp_part,0,0,0,0,0,0,1,policy_change,failed
167,Portugal,League of Arab States,1973,1974,1,exp_part,0,0,0,0,0,0,1,policy_change,failed
168,Portugal,Organisation of African Unity,1973,1974,1,exp_compl,0,0,0,0,0,0,1,territorial_conflict,success_total
169,Rhodesia,League of Arab States,1973,1974,1,exp_part,0,0,0,0,0,0,1,destab_regime,failed
170,Rhodesia,Organisation of African Unity,1973,1974,1,exp_compl,0,0,0,0,0,0,1,destab_regime,failed
171,South Africa,League of Arab States,1973,1974,1,exp_part,0,0,0,0,0,0,1,policy_change,failed
172,South Africa,Organisation of African Unity,1973,1974,1,exp_compl,0,0,0,0,0,0,1,policy_change,failed
173,United Kingdom,League of Arab States,1973,1974,1,exp_part,0,0,0,0,0,0,1,policy_change,failed
174,United States,League of Arab States,1973,1974,1,exp_part,0,0,0,0,0,0,1,policy_change,failed
175,Western countries,OAPEC,1973,1974,1,exp_part,0,0,0,0,0,1,1,policy_change,failed
176,Chile,Mexico,1974,1990,0,,0,0,0,0,1,0,0,"democracy,human_rights","success_total,success_total"
177,Chile,United Kingdom,1974,1980,1,exp_part,1,0,1,0,0,0,0,"democracy,human_rights","failed,failed"
178,Chile,United States,1974,1983,0,,1,1,1,0,0,0,0,"democracy,human_rights","failed,failed"
179,Cyprus (Northern),Cyprus,1974,2022,0,,0,0,0,0,1,0,0,territorial_conflict,ongoing
180,India,Canada,1974,2008,1,"exp_part, imp_part",0,0,1,0,0,0,0,prevent_war,nego_settlement
181,India,United States,1974,2008,1,exp_part,0,1,1,0,0,0,0,policy_change,success_total
182,Pakistan,Canada,1974,1976,1,exp_part,0,0,0,0,0,0,0,prevent_war,success_total
183,Turkey,United States,1974,1978,1,"exp_compl, imp_compl",0,0,0,0,0,0,0,policy_change,failed
184,Cambodia,Australia,1975,1992,0,,0,0,1,0,0,0,0,"destab_regime,end_war","success_part,success_part"
185,Cambodia,Germany,1975,1979,0,,0,0,0,0,1,0,0,destab_regime,success_part
186,Cambodia,Japan,1975,1992,0,,0,0,0,0,1,0,0,"destab_regime,end_war","success_part,success_part"
187,Cambodia,Japan,1975,1991,0,,0,0,1,0,0,0,0,"destab_regime,end_war","success_part,success_part"
188,Cambodia,United Kingdom,1975,1991,0,,0,0,0,0,1,0,0,"destab_regime,end_war","success_part,success_part"
189,Cambodia,United States,1975,1979,1,"exp_compl, imp_compl",0,0,1,0,0,0,0,"end_war,destab_regime","failed,failed"
190,Chile,United States,1975,1990,0,,0,0,1,0,0,0,0,human_rights,success_total
191,Laos,Thailand,1975,1976,1,"exp_compl, imp_compl",0,0,0,1,0,0,0,"destab_regime,end_war","failed,failed"
192,Laos,United States,1975,1995,0,,0,0,1,0,0,0,0,policy_change,nego_settlement
193,South Africa,Denmark,1975,1992,1,"exp_compl, imp_compl",0,0,1,0,0,0,0,policy_change,success_part
194,South Africa,United States,1975,1982,1,exp_part,0,0,0,0,0,0,0,prevent_war,failed
195,South Vietnam,United States,1975,1976,1,"exp_compl, imp_compl",0,0,1,0,0,0,0,destab_regime,failed
196,Turkey,United States,1975,1978,0,,0,1,0,0,0,0,0,end_war,failed
197,Chile,United States,1976,1990,0,,0,1,0,0,0,0,0,human_rights,success_total
198,"Egypt, Arab Rep.",Soviet Union,1976,1984,0,,1,0,1,0,0,0,0,policy_change,failed
199,League of Arab States,United States,1976,2022,0,,0,0,1,0,0,1,0,policy_change,ongoing
200,South Vietnam,United States,1976,1994,1,"exp_compl, imp_compl",0,0,1,0,0,0,0,destab_regime,failed
201,South Vietnam,United States,1976,1998,0,,0,0,1,0,0,0,0,destab_regime,nego_settlement
202,Taiwan,United States,1976,1977,1,exp_part,0,0,0,0,0,0,0,prevent_war,success_total
203,Argentina,United States,1977,1989,1,exp_part,1,1,1,0,0,0,0,human_rights,success_total
204,Cambodia,Thailand,1977,1978,1,exp_part,0,0,0,0,0,0,0,"destab_regime,end_war","success_part,success_part"
205,EEC,Canada,1977,1978,1,exp_part,0,0,0,0,0,1,0,policy_change,success_total
206,El Salvador,United States,1977,1980,0,,0,1,1,0,0,0,0,"human_rights,democracy","failed,success_part"
207,Equatorial Guinea,Spain,1977,1979,0,,0,0,0,0,1,0,0,"human_rights,democracy","failed,failed"
208,Eritrea,United States,1977,1993,0,,0,0,0,0,1,0,0,policy_change,success_part
209,Ethiopia (excludes Eritrea),United States,1977,1992,0,,0,1,1,0,0,0,0,"human_rights,destab_regime","failed,success_total"
210,Germany,United States,1977,1977,1,exp_part,0,0,0,0,0,0,0,policy_change,failed
211,Guatemala,United States,1977,1986,0,,0,1,0,0,0,0,0,human_rights,success_part
212,Guatemala,United States,1977,1984,0,,0,0,1,0,0,0,0,human_rights,success_part
213,Japan,Canada,1977,1978,1,exp_part,0,0,0,0,0,0,0,prevent_war,success_total
214,Laos,Thailand,1977,1978,1,"exp_compl, imp_compl",0,0,0,1,0,0,0,"destab_regime,end_war","failed,failed"
215,Nicaragua,United States,1977,1979,1,exp_part,0,1,1,0,0,0,0,destab_regime,success_total
216,Paraguay,United States,1977,1981,0,,0,1,0,0,0,0,0,human_rights,success_total
217,South Africa,UN,1977,1994,0,,1,1,0,0,0,0,1,"policy_change,prevent_war","success_total,success_total"
218,South Vietnam,Cambodia,1977,1988,0,,0,0,0,0,1,0,0,territorial_conflict,success_total
219,United States,Brazil,1977,1984,0,,0,1,1,0,0,0,0,policy_change,success_total
220,Uruguay,United States,1977,1981,0,,0,1,1,0,0,0,0,human_rights,success_total
221,Uruguay,United States,1977,1977,1,exp_part,0,0,0,0,0,0,0,human_rights,failed
222,Albania,China,1978,1983,1,"exp_compl, imp_compl",0,1,1,1,0,0,0,policy_change,success_total
223,Bolivia,United States,1978,1978,0,,0,1,0,0,0,0,0,"destab_regime,democracy","nego_settlement,nego_settlement"
224,Brazil,United States,1978,1981,1,exp_part,0,0,0,0,0,0,0,prevent_war,nego_settlement
225,"Egypt, Arab Rep.",League of Arab States,1978,1983,1,"exp_part, imp_compl",0,0,1,0,1,0,1,policy_change,success_part
226,Equatorial Guinea,EU,1978,1979,0,,0,0,1,0,0,0,1,"human_rights,democracy","failed,failed"
227,Guatemala,United States,1978,1983,0,,1,0,0,0,0,0,0,human_rights,success_part
228,India,United States,1978,1982,1,exp_part,0,0,0,0,0,0,0,prevent_war,success_part
229,Libya,United States,1978,2004,1,exp_part,1,0,0,0,0,0,0,terrorism,failed
230,South Africa,Switzerland,1978,1994,0,,0,0,1,0,0,0,0,policy_change,success_total
231,South Vietnam,China,1978,1991,0,,0,0,0,0,1,0,0,"policy_change,end_war","success_total,success_total"
232,South Vietnam,China,1978,1988,1,"exp_compl, imp_compl",0,0,1,1,0,0,0,territorial_conflict,success_part
233,South Vietnam,France,1978,1981,0,,0,0,1,0,0,0,0,"policy_change,end_war","failed,failed"
234,Soviet Union,United States,1978,1987,1,exp_part,0,0,0,0,0,0,0,"other,human_rights","success_total,failed"
235,Uganda,United States,1978,1979,1,"exp_compl, imp_compl",0,0,0,0,0,0,0,human_rights,success_total
236,Afghanistan,United States,1979,1979,0,,0,1,1,0,0,0,0,human_rights,failed
237,Bolivia,United States,1979,1982,0,,0,1,1,0,0,0,0,democracy,success_part
238,Cambodia,United States,1979,1989,1,"exp_compl, imp_compl",0,0,1,0,0,0,0,"destab_regime,end_war","failed,nego_settlement"
239,Canada,League of Arab States,1979,1979,1,"exp_compl, imp_compl",0,0,1,0,0,0,1,policy_change,success_total
240,Chile,United States,1979,1990,0,,1,0,1,0,0,0,0,"human_rights,other","success_total,success_total"
241,"Egypt, Arab Rep.",League of Arab States,1979,1989,0,,0,0,0,0,1,0,1,policy_change,success_part
242,El Salvador,Germany,1979,1984,0,,0,0,1,0,0,0,0,human_rights,success_part
243,Iran,United States,1979,1981,1,imp_part,0,0,1,0,0,0,0,other,success_total
244,Pakistan,United States,1979,1981,0,,0,1,1,0,0,0,0,prevent_war,failed
245,South Africa,Sweden,1979,1993,0,,0,0,1,0,0,0,0,policy_change,nego_settlement
246,South Vietnam,Australia,1979,1983,0,,0,0,1,0,0,0,0,"end_war,policy_change","failed,failed"
247,South Vietnam,EEC,1979,1979,0,,0,0,1,0,0,0,1,end_war,failed
248,South Vietnam,"Germany, Denmark",1979,1979,0,,0,0,1,0,0,0,1,policy_change,failed
249,South Vietnam,Japan,1979,1992,0,,0,0,1,0,0,0,0,end_war,success_total
250,Uganda,United Kingdom,1979,1979,1,exp_part,0,0,0,0,0,0,0,"human_rights,end_war","success_total,success_total"
251,Bolivia,United States,1980,1982,0,,0,1,0,0,1,0,0,democracy,success_part
252,Iran,United States,1980,1981,1,imp_part,0,0,0,0,0,0,0,terrorism,failed
253,Iraq,United States,1980,1990,1,exp_part,0,0,0,0,0,0,0,prevent_war,failed
254,Soviet Union,United States,1980,1981,1,"exp_part, imp_part",0,0,0,0,1,0,0,policy_change,failed
255,Libya,United States,1981,2004,1,exp_part,0,0,0,1,0,0,0,prevent_war,success_part
256,Nicaragua,United States,1981,1989,0,,0,0,1,0,0,0,0,"policy_change,destab_regime","failed,success_part"
257,Poland,NATO,1981,1984,0,,0,0,0,1,0,0,1,"democracy,human_rights","success_total,success_total"
258,Poland,United States,1981,1987,1,exp_part,0,0,1,0,0,0,0,"democracy,human_rights","success_total,success_part"
259,Poland,United States,1981,1984,0,,0,0,0,1,1,0,0,"democracy,human_rights","success_total,success_part"
260,South Vietnam,France,1981,1989,0,,0,0,1,0,0,0,0,"policy_change,end_war","success_total,success_total"
261,Soviet Union,"United States, EEC",1981,1983,1,imp_part,0,0,0,1,0,0,1,policy_change,success_total
262,Turkey,EEC,1981,1986,0,,0,0,1,0,0,0,1,democracy,success_total
263,Turkey,Germany,1981,1982,0,,0,0,1,0,0,0,0,democracy,nego_settlement
264,Argentina,Australia,1982,1982,1,imp_compl,0,0,0,0,1,0,0,"territorial_conflict,end_war,human_rights","failed,failed,failed"
265,Argentina,Canada,1982,1982,1,imp_compl,1,0,1,0,0,0,0,end_war,success_total
266,Argentina,EEC,1982,1982,1,imp_compl,1,0,0,0,0,0,1,end_war,success_total
267,Argentina,New Zealand,1982,1982,1,"exp_compl, imp_compl",0,0,0,0,0,0,0,"territorial_conflict,end_war,human_rights","failed,failed,failed"
268,Argentina,Norway,1982,1982,1,imp_compl,0,0,0,0,0,0,0,end_war,success_total
269,Argentina,Switzerland,1982,1982,0,,1,0,0,0,0,0,0,"territorial_conflict,end_war,human_rights","failed,failed,failed"
270,Argentina,United Kingdom,1982,1989,0,,0,0,0,0,1,0,0,"territorial_conflict,end_war,human_rights","nego_settlement,nego_settlement,success_total"
271,Argentina,United Kingdom,1982,1985,1,imp_compl,0,0,0,0,0,0,0,territorial_conflict,success_total
272,Argentina,United Kingdom,1982,1982,0,,0,0,1,0,0,0,0,territorial_conflict,failed
